# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
357697:8143,08/19/22 09:24:42,0.013919097,0.012615432,5.721574924
357698:8143,08/19/22 09:56:20,0.019844756,0.018510658,5.740085582
357699:8143,08/19/22 10:23:21,0.009601162,0.009171002,5.749256584
357700:8143,08/19/22 10:36:51,0.213736571,0.208161605,5.957418189
357701:8143,08/19/22 15:34:11,0.070298098,0.068960112,6.026378301
357705:8143,08/19/22 18:48:46,0.039532309,0.038450728,6.064829029
357706:8143,08/19/22 20:11:20,0.027413111,0.026815885,6.091644914
357720:8144,08/19/22 23:22:19,0.019033629,0.017747368,6.109392282
357732:8146,08/20/22 10:01:56,0.046757506,0.040799469,6.150191751
357734:8146,08/20/22 11:04:44,0.117044546,0.108465160,6.258656911
357735:8146,08/20/22 13:02:37,0.329174419,0.317745060,6.576401971
357754:8147,08/20/22 22:52:35,0.037817466,0.033259887,6.609661858
357756:8147,08/20/22 23:44:38,0.157397543,0.147894404,6.757556262
357757:8147,08/21/22 02:31:13,0.002349567,0.002110935,6.759667197
357758:8147,08/21/22 02:37:20,0.026514564,0.025170244,6.784837441
357759:8147,08/21/22 03:12:43,0.021368263,0.020434599,6.805272040
357766:8148,08/21/22 07:27:46,0.041358883,0.036685634,6.841957674
357777:8148,08/21/22 14:05:36,0.023829366,0.023178791,6.865136465
357778:8148,08/21/22 14:43:18,0.090389389,0.086924521,6.952060986
357779:8148,08/21/22 17:05:47,0.017302299,0.016779504,6.968840490
357781:8148,08/21/22 17:44:36,0.002241842,0.002078630,6.970919120
357802:8149,08/21/22 20:59:37,0.057091934,0.052879659,7.023798779
357803:8149,08/21/22 22:05:02,0.055703877,0.052558136,7.076356915
357804:8149,08/21/22 23:06:52,0.008399467,0.007676499,7.084033414
357805:8149,08/21/22 23:17:38,0.031252656,0.029522769,7.113556183
357806:8149,08/21/22 23:53:44,0.016791996,0.015570060,7.129126243
357807:8149,08/22/22 00:20:46,0.080859600,0.077760586,7.206886829
357808:8149,08/22/22 01:57:54,0.004659190,0.004306084,7.211192913
357809:8149,08/22/22 02:06:38,0.012705892,0.012018093,7.223211006
