year,run,total,passed,efficiency
2022,361197,1082555,1028088,94.968662
2022,361223,423845,402385,94.936828
2022,361239,656929,623798,94.956685
2022,361240,463232,440955,95.190963
2022,361272,77708,73698,94.839656
2022,361280,171045,162670,95.103628
2022,361283,16583,15705,94.705421
2022,361284,23358,22206,95.068071
2022,361297,588383,559184,95.037416
2022,361303,1207430,1148879,95.150775
2022,361318,293991,278692,94.796099
2022,361319,105480,99971,94.777209
2022,361320,231230,219116,94.761060
2022,361333,187022,176970,94.625231
2022,361361,24121,22830,94.647817
2022,361362,10150,9612,94.699507
2022,361363,12728,12020,94.437461
2022,361365,300571,285163,94.873757
2022,361366,116305,110209,94.758609
2022,361400,287654,273536,95.092020
2022,361417,955561,908402,95.064784
2022,361443,1219478,1159077,95.046979
2022,361468,1095972,1042107,95.085185
2022,361475,752764,716097,95.129018
2022,361512,902928,858784,95.111017
2022,361569,352775,334607,94.849975
2022,361573,189349,179811,94.962741
2022,361579,537465,510586,94.998930
2022,361580,222454,211798,95.209796
2022,361957,514944,489469,95.052860
2022,361971,1277189,1214326,95.078019
2022,361989,65281,62006,94.983226
2022,361990,132092,125342,94.889925
2022,361994,75833,71954,94.884813
2022,362058,97267,92239,94.830724
2022,362059,39515,37498,94.895609
2022,362060,55177,52380,94.930859
2022,362061,199980,189802,94.910491
2022,362062,131764,125064,94.915151
2022,362063,51933,49375,95.074423
2022,362064,445737,424471,95.229025
2022,362087,95051,90465,95.175222
2022,362091,782895,744858,95.141494
2022,362104,64751,61525,95.017838
2022,362105,115101,109160,94.838446
2022,362106,50923,48411,95.067062
2022,362107,491446,467137,95.053577
2022,362148,452624,430070,95.017056
2022,362153,88786,84289,94.935012
2022,362154,418935,398272,95.067731
2022,362159,2467,2341,94.892582
2022,362161,77008,73165,95.009609
2022,362163,41721,39535,94.760432
2022,362166,216735,205816,94.962050
2022,362167,401032,380647,94.916864
2022,362437,15528,14602,94.036579
2022,362439,797483,758224,95.077136
2022,362597,90912,86226,94.845565
2022,362614,99541,94293,94.727801
2022,362615,104916,99316,94.662397
2022,362616,247628,234535,94.712633
2022,362617,169603,160701,94.751272
2022,362618,157807,150016,95.062957
2022,362653,161473,152869,94.671555
2022,362654,16781,15756,93.891902
2022,362655,221138,209863,94.901374
2022,362657,126992,120471,94.865031
2022,362695,201937,191333,94.748857
2022,362698,130823,124015,94.796022
2022,362720,558079,529790,94.931004
2022,362727,2164,2053,94.870610
2022,362728,227189,215856,95.011642
2022,362757,30903,29136,94.282109
2022,362758,129125,122348,94.751597
2022,362760,442318,419937,94.940066
2023,367095,167265,157424,94.116522
2023,367102,22955,21833,95.112176
2023,367103,19818,18801,94.868302
2023,367128,3393,3190,94.017094
2023,367129,1582,1489,94.121365
2023,367133,123221,116912,94.879931
2023,367229,16611,15760,94.876889
2023,367231,10201,9709,95.176943
2023,367263,5040,4767,94.583333
2023,367269,14303,13486,94.287912
2023,367314,9451,8958,94.783621
2023,367416,18249,17357,95.112061
2023,367477,599230,568739,94.911637
2023,367515,350861,332990,94.906530
2023,367516,629554,598595,95.082392
2023,367552,1328,1259,94.804217
2023,367553,393082,373571,95.036405
2023,367554,186092,176902,95.061582
2023,367618,201994,189663,93.895363
2023,367619,278372,260805,93.689380
2023,367666,25537,24226,94.866272
2023,367691,34311,32585,94.969543
2023,367730,230157,218253,94.827878
2023,367742,234827,223206,95.051250
2023,367758,420144,398535,94.856763
2023,367770,68360,64997,95.080456
2023,367771,61222,58125,94.941361
2023,367772,3450,3238,93.855072
2023,367790,76052,72305,95.073108
2023,367831,279109,265050,94.962900
2023,367836,335940,319398,95.075906
2023,367838,490799,466123,94.972280
2023,367840,256968,244646,95.204850
2023,367881,72969,69221,94.863572
2023,367883,706449,670444,94.903383
2023,367884,488566,463462,94.861697
2023,367902,131691,124881,94.828804
2023,367904,67201,63780,94.909302
2023,367905,32866,31183,94.879206
2023,367906,230442,218676,94.894160
2023,367908,219127,206127,94.067367
2023,367910,296338,277647,93.692675
2023,368223,65893,62425,94.736922
2023,368224,9702,9185,94.671202
2023,368229,142098,134423,94.598798
2023,368318,98195,93599,95.319517
2023,368320,119878,114175,95.242663
2023,368321,122585,116660,95.166619
2023,368332,3451,3288,95.276731
2023,368333,6666,6360,95.409541
2023,368382,319473,303023,94.850895
2023,368384,17639,16675,94.534838
2023,368388,549909,522689,95.050090
2023,368389,54078,51595,95.408484
2023,368400,98887,94022,95.080243
2023,368410,644070,612746,95.136553
2023,368489,796695,757896,95.130006
2023,368547,360316,342360,95.016597
2023,368567,195488,185791,95.039593
2023,368609,610401,579922,95.006725
2023,368611,181424,172849,95.273503
2023,368613,104672,99841,95.384630
2023,368636,469621,446130,94.997881
2023,368669,235172,223310,94.956032
2023,368670,171656,162882,94.888614
2023,368672,448126,425763,95.009662
2023,368674,3536,3362,95.079186
2023,368675,17267,16437,95.193143
2023,368676,54873,52263,95.243562
2023,368678,55524,52863,95.207478
2023,368684,36696,34933,95.195662
2023,368685,846464,804528,95.045743
2023,368723,49758,47199,94.857108
2023,368724,743488,703065,94.563060
2023,368746,12499,11860,94.887591
2023,368749,107173,101746,94.936225
2023,368753,613039,582545,95.025765
2023,368822,586696,556885,94.918834
2023,368823,18328,17391,94.887604
2023,369927,4801,4593,95.667569
2023,369956,127816,121794,95.288540
2023,369978,186881,177854,95.169653
2023,369998,74670,71009,95.097094
2023,369999,21767,20601,94.643267
2023,370093,114617,108698,94.835845
2023,370097,98004,92889,94.780825
2023,370129,254114,241090,94.874741
2023,370144,602510,573405,95.169375
2023,370169,559471,531760,95.046928
2023,370172,118086,112021,94.863913
2023,370293,806698,767123,95.094199
2023,370300,332194,315270,94.905387
2023,370304,102875,97608,94.880194
2023,370307,314331,298739,95.039624
2023,370321,2572,2443,94.984448
2023,370340,324427,307594,94.811468
2023,370354,165930,157221,94.751401
2023,370436,16068,15228,94.772218
2023,370460,51369,48750,94.901594
2023,370472,15249,14491,95.029182
2023,370497,748991,710954,94.921568
2023,370522,149880,142136,94.833200
2023,370560,215054,203913,94.819441
2023,370579,38096,36146,94.881352
2023,370580,822600,779410,94.749575
2023,370749,944975,894444,94.652663
2023,370753,113871,107834,94.698387
2023,370790,4851,4595,94.722738
2024,379613,43978,41920,95.320387
2024,379618,146708,139874,95.341767
2024,379660,627139,598015,95.356053
2024,379661,120493,115137,95.554929
2024,379729,662385,632623,95.506843
2024,379765,784942,748882,95.406030
2024,379774,89342,85279,95.452307
2024,380001,343538,327511,95.334723
2024,380005,521555,496938,95.280076
2024,380007,52353,49951,95.411915
2024,380029,15885,15140,95.310041
2024,380030,205848,195985,95.208601
2024,380032,10164,9659,95.031484
2024,380033,29636,28230,95.255770
2024,380043,505127,481080,95.239415
2024,380049,491712,468197,95.217729
2024,380051,326603,311501,95.376038
2024,380052,4455,4236,95.084175
2024,380066,311426,296294,95.141061
2024,380126,560760,532451,94.951673
2024,380127,253836,242085,95.370633
2024,380128,150489,143559,95.395012
2024,380197,228269,217001,95.063719
2024,380235,141744,134142,94.636810
2024,380236,35416,33466,94.494014
2024,380238,15901,15079,94.830514
2024,380308,19567,18374,93.903000
2024,380346,335614,318816,94.994845
2024,380348,191962,182735,95.193320
2024,380349,309571,295415,95.427220
2024,380377,250272,238134,95.150077
2024,380384,452171,429774,95.046785
2024,380385,569073,543226,95.458052
2024,380399,292294,277899,95.075164
2024,380403,149326,142221,95.241954
2024,380444,198022,189020,95.454040
2024,380446,581871,556809,95.692860
2024,380447,306446,293968,95.928157
2024,380466,282114,269640,95.578383
2024,380470,762380,730753,95.851544
2024,380481,523912,500840,95.596207
2024,380513,683112,654006,95.739205
2024,380517,18367,17617,95.916590
2024,380531,600534,575096,95.764103
2024,380534,328885,316963,96.375025
2024,380537,21205,20459,96.481962
2024,380538,48483,46761,96.448240
2024,380623,224942,214327,95.281006
2024,380624,465009,443548,95.384821
2024,380625,3237,3088,95.396973
2024,380626,6482,6216,95.896328
2024,380627,320743,307471,95.862108
2024,380647,218731,208946,95.526469
2024,380649,235463,225465,95.753898
2024,380933,18168,17437,95.976442
2024,380945,139147,132728,95.386893
2024,380947,384211,367686,95.698978
2024,380963,529304,505266,95.458564
2024,381022,299328,285766,95.469184
2024,381053,48494,46304,95.483977
2024,381065,488369,465985,95.416580
2024,381067,177134,169357,95.609539
2024,381069,141471,135375,95.690990
2024,381070,173259,166228,95.941914
2024,381075,255862,243960,95.348274
2024,381078,201216,191775,95.308027
2024,381079,198806,190528,95.836142
2024,381080,142205,136322,95.863015
2024,381113,138265,131720,95.266336
2024,381114,291699,278283,95.400738
2024,381115,594426,569225,95.760448
2024,381147,105202,100311,95.350849
