year,roll_name,total,passed,efficiency
2025,W+1_RB2in_S01_Backward,0,0,
2025,W+1_RB2in_S01_Forward,0,0,
2025,W+1_RB2in_S01_Middle,0,0,
2025,W+1_RB2in_S02_Backward,0,0,
2025,W+1_RB2in_S02_Forward,0,0,
2025,W+1_RB2in_S02_Middle,0,0,
2025,W+1_RB2in_S03_Backward,135676,133854,98.657095
2025,W+1_RB2in_S03_Forward,127324,123336,96.867833
2025,W+1_RB2in_S03_Middle,129360,127500,98.562152
2025,W+1_RB2in_S04_Backward,90267,84390,93.489315
2025,W+1_RB2in_S04_Forward,91194,90118,98.820098
2025,W+1_RB2in_S04_Middle,127915,125326,97.976000
2025,W+1_RB2in_S05_Backward,136836,135094,98.726943
2025,W+1_RB2in_S05_Forward,129361,125951,97.363966
2025,W+1_RB2in_S05_Middle,130730,129207,98.835003
2025,W+1_RB2in_S06_Backward,138157,136435,98.753592
2025,W+1_RB2in_S06_Forward,131192,128122,97.659918
2025,W+1_RB2in_S06_Middle,133412,132118,99.030072
2025,W+1_RB2in_S07_Backward,137107,134615,98.182441
2025,W+1_RB2in_S07_Forward,129933,127984,98.499996
2025,W+1_RB2in_S07_Middle,132384,129448,97.782209
2025,W+1_RB2in_S08_Backward,137251,134845,98.247007
2025,W+1_RB2in_S08_Forward,131277,129567,98.697411
2025,W+1_RB2in_S08_Middle,133362,131653,98.718526
2025,W+1_RB2in_S09_Backward,134961,126754,93.918984
2025,W+1_RB2in_S09_Forward,127856,126487,98.929264
2025,W+1_RB2in_S09_Middle,129205,127670,98.811965
2025,W+1_RB2in_S10_Backward,132087,129949,98.381370
2025,W+1_RB2in_S10_Forward,124318,122667,98.671954
2025,W+1_RB2in_S10_Middle,126020,124218,98.570068
2025,W+1_RB2in_S11_Backward,0,0,
2025,W+1_RB2in_S11_Forward,0,0,
2025,W+1_RB2in_S11_Middle,0,0,
2025,W+1_RB2in_S12_Backward,135676,133568,98.446299
2025,W+1_RB2in_S12_Forward,126067,105733,83.870482
2025,W+1_RB2in_S12_Middle,128971,126245,97.886347
2025,W+1_RB2out_S01_Backward,0,0,
2025,W+1_RB2out_S01_Forward,0,0,
2025,W+1_RB2out_S02_Backward,0,0,
2025,W+1_RB2out_S02_Forward,0,0,
2025,W+1_RB2out_S03_Backward,0,0,
2025,W+1_RB2out_S03_Forward,0,0,
2025,W+1_RB2out_S04_Backward,155140,150719,97.150316
2025,W+1_RB2out_S04_Forward,152714,146778,96.112996
2025,W+1_RB2out_S05_Backward,0,0,
2025,W+1_RB2out_S05_Forward,0,0,
2025,W+1_RB2out_S06_Backward,199790,195095,97.650033
2025,W+1_RB2out_S06_Forward,191143,186921,97.791183
2025,W+1_RB2out_S07_Backward,197285,193270,97.964873
2025,W+1_RB2out_S07_Forward,189811,187469,98.766141
2025,W+1_RB2out_S08_Backward,198315,191889,96.759700
2025,W+1_RB2out_S08_Forward,191815,176699,92.119490
2025,W+1_RB2out_S09_Backward,194744,178930,91.879596
2025,W+1_RB2out_S09_Forward,185647,181828,97.942870
2025,W+1_RB2out_S10_Backward,190715,187981,98.566447
2025,W+1_RB2out_S10_Forward,180919,177267,97.981417
2025,W+1_RB2out_S11_Backward,193764,190710,98.423856
2025,W+1_RB2out_S11_Forward,186803,176327,94.391953
2025,W+1_RB2out_S12_Backward,0,0,
2025,W+1_RB2out_S12_Forward,183897,178188,96.895545
2025,W+1_RB3+_S01_Backward,0,0,
2025,W+1_RB3+_S01_Forward,0,0,
2025,W+1_RB3+_S02_Backward,89041,83580,93.866870
2025,W+1_RB3+_S02_Forward,84637,68899,81.405296
2025,W+1_RB3+_S03_Backward,90488,89050,98.410839
2025,W+1_RB3+_S03_Forward,84702,83334,98.384926
2025,W+1_RB3+_S04_Backward,0,0,
2025,W+1_RB3+_S04_Forward,0,0,
2025,W+1_RB3+_S05_Backward,89754,87950,97.990062
2025,W+1_RB3+_S05_Forward,85513,84525,98.844620
2025,W+1_RB3+_S06_Backward,89262,87605,98.143667
2025,W+1_RB3+_S06_Forward,86940,82674,95.093168
2025,W+1_RB3+_S07_Backward,0,0,
2025,W+1_RB3+_S07_Forward,0,0,
2025,W+1_RB3+_S08_Backward,88644,86599,97.693019
2025,W+1_RB3+_S08_Forward,84518,82984,98.185002
2025,W+1_RB3+_S09_Backward,0,0,
2025,W+1_RB3+_S09_Forward,0,0,
2025,W+1_RB3+_S10_Backward,0,0,
2025,W+1_RB3+_S10_Forward,0,0,
2025,W+1_RB3+_S11_Backward,88939,87705,98.612532
2025,W+1_RB3+_S11_Forward,83542,82201,98.394819
2025,W+1_RB3+_S12_Backward,91919,90157,98.083095
2025,W+1_RB3+_S12_Forward,83955,80760,96.194390
2025,W+1_RB3-_S01_Backward,0,0,
2025,W+1_RB3-_S01_Forward,0,0,
2025,W+1_RB3-_S02_Backward,90082,88656,98.416998
2025,W+1_RB3-_S02_Forward,86836,85220,98.139021
2025,W+1_RB3-_S03_Backward,89796,88440,98.489910
2025,W+1_RB3-_S03_Forward,85137,83471,98.043154
2025,W+1_RB3-_S04_Backward,0,0,
2025,W+1_RB3-_S04_Forward,0,0,
2025,W+1_RB3-_S05_Backward,89661,83962,93.643836
2025,W+1_RB3-_S05_Forward,86304,85236,98.762514
2025,W+1_RB3-_S06_Backward,91244,89740,98.351672
2025,W+1_RB3-_S06_Forward,88168,82865,93.985346
2025,W+1_RB3-_S07_Backward,90377,88748,98.197550
2025,W+1_RB3-_S07_Forward,87565,85924,98.125964
2025,W+1_RB3-_S08_Backward,90908,89898,98.888987
2025,W+1_RB3-_S08_Forward,88924,82439,92.707256
2025,W+1_RB3-_S09_Backward,0,0,
2025,W+1_RB3-_S09_Forward,0,0,
2025,W+1_RB3-_S10_Backward,0,0,
2025,W+1_RB3-_S10_Forward,0,0,
2025,W+1_RB3-_S11_Backward,89822,86885,96.730200
2025,W+1_RB3-_S11_Forward,86192,84275,97.775896
2025,W+1_RB3-_S12_Backward,89138,87470,98.128744
2025,W+1_RB3-_S12_Forward,84982,83366,98.098421
2025,W+1_RB4++_S04_Backward,0,0,
2025,W+1_RB4++_S04_Forward,0,0,
2025,W+1_RB4+_S01_Backward,0,0,
2025,W+1_RB4+_S01_Forward,0,0,
2025,W+1_RB4+_S02_Backward,95157,93288,98.035878
2025,W+1_RB4+_S02_Forward,91361,88675,97.060015
2025,W+1_RB4+_S03_Backward,0,0,
2025,W+1_RB4+_S03_Forward,0,0,
2025,W+1_RB4+_S04_Backward,0,0,
2025,W+1_RB4+_S04_Forward,0,0,
2025,W+1_RB4+_S05_Backward,92988,91872,98.799845
2025,W+1_RB4+_S05_Forward,85159,83191,97.689029
2025,W+1_RB4+_S06_Backward,90971,87957,96.686856
2025,W+1_RB4+_S06_Forward,85465,83304,97.471480
2025,W+1_RB4+_S07_Backward,92583,89383,96.543642
2025,W+1_RB4+_S07_Forward,86020,84148,97.823762
2025,W+1_RB4+_S08_Backward,67240,66008,98.167757
2025,W+1_RB4+_S08_Forward,61485,60104,97.753924
2025,W+1_RB4+_S10_Backward,114128,112394,98.480653
2025,W+1_RB4+_S10_Forward,106745,104866,98.239730
2025,W+1_RB4+_S12_Backward,96394,93970,97.485321
2025,W+1_RB4+_S12_Forward,90275,88501,98.034893
2025,W+1_RB4--_S04_Backward,0,0,
2025,W+1_RB4--_S04_Forward,0,0,
2025,W+1_RB4-_S01_Backward,92256,88373,95.791060
2025,W+1_RB4-_S01_Forward,83773,61236,73.097537
2025,W+1_RB4-_S02_Backward,90683,87949,96.985102
2025,W+1_RB4-_S02_Forward,83341,80130,96.147154
2025,W+1_RB4-_S03_Backward,0,0,
2025,W+1_RB4-_S03_Forward,0,0,
2025,W+1_RB4-_S04_Backward,0,0,
2025,W+1_RB4-_S04_Forward,0,0,
2025,W+1_RB4-_S05_Backward,93910,92261,98.244063
2025,W+1_RB4-_S05_Forward,91401,88969,97.339198
2025,W+1_RB4-_S06_Backward,95282,89297,93.718646
2025,W+1_RB4-_S06_Forward,92805,91530,98.626152
2025,W+1_RB4-_S07_Backward,93861,92617,98.674636
2025,W+1_RB4-_S07_Forward,91384,83923,91.835551
2025,W+1_RB4-_S08_Backward,95768,94375,98.545443
2025,W+1_RB4-_S08_Forward,92444,89563,96.883519
2025,W+1_RB4-_S10_Backward,0,0,
2025,W+1_RB4-_S10_Forward,0,0,
2025,W+1_RB4-_S12_Backward,68444,67355,98.408918
2025,W+1_RB4-_S12_Forward,61566,60645,98.504044
2025,W+1_RB4_S09_Backward,92351,90698,98.210090
2025,W+1_RB4_S09_Forward,89165,87736,98.397353
2025,W+1_RB4_S11_Backward,91137,88710,97.336976
2025,W+1_RB4_S11_Forward,89325,87766,98.254688
2025,W+2_RB1in_S01_Backward,167604,165370,98.667096
2025,W+2_RB1in_S01_Forward,144958,143945,99.301177
2025,W+2_RB1in_S02_Backward,166393,162314,97.548575
2025,W+2_RB1in_S02_Forward,144568,142964,98.890488
2025,W+2_RB1in_S03_Backward,165486,161158,97.384673
2025,W+2_RB1in_S03_Forward,141679,139546,98.494484
2025,W+2_RB1in_S04_Backward,167574,164487,98.157829
2025,W+2_RB1in_S04_Forward,144025,142459,98.912689
2025,W+2_RB1in_S05_Backward,0,0,
2025,W+2_RB1in_S05_Forward,0,0,
2025,W+2_RB1in_S06_Backward,170375,167692,98.425238
2025,W+2_RB1in_S06_Forward,147709,145019,98.178852
2025,W+2_RB1in_S07_Backward,0,0,
2025,W+2_RB1in_S07_Forward,0,0,
2025,W+2_RB1in_S08_Backward,167679,159667,95.221823
2025,W+2_RB1in_S08_Forward,146285,129729,88.682367
2025,W+2_RB1in_S09_Backward,166614,157849,94.739338
2025,W+2_RB1in_S09_Forward,142239,140389,98.699372
2025,W+2_RB1in_S10_Backward,158402,153362,96.818222
2025,W+2_RB1in_S10_Forward,132853,130091,97.921010
2025,W+2_RB1in_S11_Backward,163519,155722,95.231747
2025,W+2_RB1in_S11_Forward,135850,134029,98.659551
2025,W+2_RB1in_S12_Backward,0,0,
2025,W+2_RB1in_S12_Forward,140459,138645,98.708520
2025,W+2_RB1out_S01_Backward,154344,143508,92.979319
2025,W+2_RB1out_S01_Forward,0,0,
2025,W+2_RB1out_S02_Backward,153584,143974,93.742838
2025,W+2_RB1out_S02_Forward,133478,132405,99.196122
2025,W+2_RB1out_S03_Backward,152133,149869,98.511828
2025,W+2_RB1out_S03_Forward,130742,129236,98.848113
2025,W+2_RB1out_S04_Backward,0,0,
2025,W+2_RB1out_S04_Forward,0,0,
2025,W+2_RB1out_S05_Backward,0,0,
2025,W+2_RB1out_S05_Forward,0,0,
2025,W+2_RB1out_S06_Backward,157181,154837,98.508726
2025,W+2_RB1out_S06_Forward,136140,134059,98.471426
2025,W+2_RB1out_S07_Backward,0,0,
